City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
305,Dingle,PH,75.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
310,Sompeta,IN,78.87,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
314,Ipixuna,BR,75.81,moderate rain,-1.7625,-48.8043,Chalé do Mato
315,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
319,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
320,Pio Ix,BR,72.66,overcast clouds,-6.8375,-40.5792,Hotel Central
321,Golden,US,76.55,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
325,Baillif,GP,78.3,broken clouds,16.0202,-61.7463,Hôtel Saint-Georges
326,Santa Rosalia,MX,78.04,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
328,Sassandra,CI,79.32,scattered clouds,4.95,-6.0833,la terrasse
330,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
331,Domoni,KM,79.81,light rain,-12.2569,44.5319,Al Djadid
334,Qui Nhon,VN,75.61,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
335,Maldonado,UY,74.59,clear sky,-34.6667,-54.9167,La Cimarrona
336,Baturaja,ID,71.94,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
337,Kailua,US,79.07,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
340,Nchelenge,ZM,70.32,moderate rain,-9.3451,28.734,KD Travellers Home
342,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
343,Gamba,GA,78.57,moderate rain,-2.65,10.0,
347,Huarmey,PE,74.57,overcast clouds,-10.0681,-78.1522,Hotel Miramar
351,El Carmen,CO,75.81,overcast clouds,8.5106,-73.4478,Hotel La Casona
357,San Pedro,PH,79.83,few clouds,14.35,121.0167,Esquivel's Garden And Resort
360,Feira Nova,BR,75.04,overcast clouds,-7.9508,-35.3892,Comercial Barbosa
361,San Rafael,AR,79.97,broken clouds,-34.6177,-68.3301,Hotel San Rafael
363,Bushehr,IR,66.29,clear sky,28.9684,50.8385,Yas Hotel
364,Sarila,IN,79.9,clear sky,25.7667,79.6833,Jitendra Saini finger chaumin
367,Chuy,UY,66.65,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
368,Arlit,NE,76.86,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
369,Mar Del Plata,AR,68.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
373,Ahipara,NZ,68.61,clear sky,-35.1667,173.1667,Ahipara Holiday Park
374,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
376,Kollam,IN,78.98,clear sky,8.8833,76.6,The Raviz Ashtamudi
379,Avera,US,69.31,clear sky,33.194,-82.5271,
380,Wattegama,LK,74.19,few clouds,6.7989,81.4808,
386,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
387,The Valley,AI,78.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
393,Fayaoue,NC,79.45,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
395,Deniliquin,AU,69.84,overcast clouds,-35.5333,144.9667,Riviana Motel
398,Payson,US,75.25,overcast clouds,40.0444,-111.7321,Quality Inn Payson I-15
399,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
400,Kaeo,NZ,69.33,clear sky,-35.1,173.7833,Bushido Lodge
405,Mumbwa,ZM,65.12,light rain,-14.9783,27.0619,Mumbwa Motel
412,Waddan,LY,66.54,few clouds,29.1614,16.139,محل الشريف محمد العايب
413,Bubaque,GW,75.99,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
414,Kamphaeng Phet,TH,79.63,few clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
418,Tura,IN,70.12,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
422,Birao,CF,73.65,scattered clouds,10.2849,22.7882,
424,Namibe,AO,71.73,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
425,Maridi,SS,72.07,overcast clouds,4.9158,29.4742,
433,Dolores,AR,65.98,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
435,Sandakan,MY,75.16,overcast clouds,5.8402,118.1179,Hotel Sandakan
436,Chimbote,PE,73.62,overcast clouds,-9.0853,-78.5783,Hotel Briliá
438,Pozo Colorado,PY,77.83,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
439,El Retorno,CO,72.45,moderate rain,2.3302,-72.6276,Hostal la posada de Rita
440,Nishihara,JP,65.48,light rain,26.1842,127.7558,Minshuku Agaihama
446,Santa Ana,US,79.61,broken clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
447,Humaita,BR,78.8,light rain,-7.5061,-63.0208,Corrêa Hotel
449,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
451,Tegal,ID,78.85,light rain,-6.8694,109.1402,Riez Palace Hotel
453,San Lorenzo,PY,75.22,clear sky,-25.3333,-57.5333,Canarias Hotel
457,Yulara,AU,66.85,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
460,Sawakin,SD,72.91,clear sky,19.1059,37.3321,فندق الدويم
463,Flagstaff,US,69.6,broken clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
465,Kendari,ID,74.7,overcast clouds,-3.945,122.4989,Hotel Wixel
467,Linares,CL,75.88,scattered clouds,-35.85,-71.6,Hotel Real
468,Mitu,CO,72.57,overcast clouds,1.1983,-70.1733,
469,Folsom,US,76.84,clear sky,38.678,-121.1761,Hilton Garden Inn Folsom
471,Venustiano Carranza,MX,77.99,few clouds,19.43,-99.0992,We Hotel Aeropuerto
474,Buchanan,LR,79.52,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
478,Itoman,JP,66.22,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
480,Sao Gabriel Da Cachoeira,BR,74.19,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
481,Meulaboh,ID,76.87,overcast clouds,4.1363,96.1285,Kost Pria
483,Delvada,IN,79.3,few clouds,20.7667,71.0333,Hotel Shivam
485,San Policarpo,PH,79.88,overcast clouds,12.1791,125.5072,Agapita M. Nicart
488,La Peca,PE,79.27,light rain,-5.6111,-78.435,Hospedaje San Miguelito
493,Winslow,US,78.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
495,Maragogi,BR,78.39,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
499,Rio Grande,BR,67.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
501,Kapitan Ramon,PH,74.88,broken clouds,10.7749,123.1256,LupaRiverside Resort
508,Amla,IN,76.73,broken clouds,21.9333,78.1167,L l ganeshkar
510,Broken Hill,AU,69.51,broken clouds,-31.95,141.4333,Royal Exchange Hotel
516,Chimore,BO,74.8,broken clouds,-16.9833,-65.1333,Bichito
518,Canon City,US,75.2,clear sky,38.441,-105.2424,Travel Inn Motel
521,Puerto Suarez,BO,78.06,overcast clouds,-18.95,-57.8,Hotel casa real
529,Kapit,MY,71.94,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
535,Mathathane,BW,68.99,scattered clouds,-22.2687,28.7495,Selepswe Resort
539,Senanga,ZM,69.51,broken clouds,-16.1167,23.2667,Zango lodge
541,Boca Do Acre,BR,77.65,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
542,Salinopolis,BR,78.12,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
544,Surt,LY,69.57,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
545,Kiunga,PG,75.24,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
546,Ta Khmau,KH,78.85,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
547,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
549,Hirara,JP,66.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
552,Foz Do Iguacu,BR,77.92,clear sky,-25.5478,-54.5881,Turrance Green Hotel
553,Bowen,AU,75.72,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
556,Panguna,PG,75.33,overcast clouds,-6.3164,155.4848,
558,Rosarito,MX,70.63,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
563,Tucurui,BR,76.08,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
564,Mocuba,MZ,71.96,overcast clouds,-16.8392,36.9856,Phama Lodge
567,Pitimbu,BR,79.39,moderate rain,-7.4706,-34.8086,Reserva do Abiaí
572,Bunda,TZ,65.57,overcast clouds,-2.05,33.8667,Tembea Mara at Balili Village
574,Banda Aceh,ID,79.75,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
576,Quirinopolis,BR,73.53,overcast clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
580,Fountain,US,70.32,broken clouds,38.6822,-104.7008,Colorado Springs KOA Holiday
582,Les Cayes,HT,79.41,broken clouds,18.2,-73.75,Villa Orphee
588,Vanimo,PG,79.77,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,Puerto De La Cruz,ES,65.46,few clouds,28.414,-16.5487,Complejo BLUESEA Puerto Resort
598,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
601,Sadri,IN,78.51,clear sky,25.1833,73.4333,Chandra Hill Resort
608,Kiama,AU,68.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
609,Catalao,BR,74.82,broken clouds,-18.1658,-47.9464,Mara Turismo Hotel
610,Paraiso,CR,77.86,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
615,Carauari,BR,75.18,overcast clouds,-4.8828,-66.8958,Hotel Fellip
617,Ulladulla,AU,67.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
618,Valparaiso,CL,70.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
619,Batemans Bay,AU,66.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
620,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
621,Quang Ngai,VN,74.17,overcast clouds,15.1167,108.8,Central Hotel
622,Sao Felix Do Xingu,BR,74.73,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
623,Biak,ID,76.06,light rain,-0.9131,122.8766,Penginapan Kim
631,Praia,CV,70.5,overcast clouds,14.9215,-23.5087,LT Aparthotel
635,Beloha,MG,72.68,overcast clouds,-25.1667,45.05,
639,Ampanihy,MG,72.01,overcast clouds,-24.7,44.75,Angora Hotel
642,Sorong,ID,79.63,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
645,Malanje,AO,66.58,overcast clouds,-9.5402,16.341,Hotel Ginga
650,Khartoum,SD,79.02,few clouds,15.5518,32.5324,Hotel China
654,Trincomalee,LK,79.48,clear sky,8.5711,81.2335,Welcombe Hotel
656,Atar,MR,76.64,overcast clouds,20.5169,-13.0499,Oumou Elghoura
660,Parvatipuram,IN,77.92,scattered clouds,18.7833,83.4333,Laxman Lodge
663,Ulundi,ZA,66.25,light rain,-28.3352,31.4162,Ekhethelo Lodge Ulundi
666,Alugan,PH,79.3,overcast clouds,12.2188,125.4808,JM Lodge
669,Vilhena,BR,72.79,overcast clouds,-12.7406,-60.1458,Hotel Mirage
673,Adrar,MR,79.27,clear sky,20.5022,-10.0711,
674,Magadi,IN,74.48,clear sky,12.9667,77.2333,Gobi centre
680,Saint-Pierre,RE,76.91,few clouds,-21.3393,55.4781,Lindsey Hôtel
681,Weligama,LK,76.68,few clouds,5.9667,80.4167,Weligama Bay Resort
684,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
